asset_id,asset_name,asset_type,business_unit,environment,owner,criticality,criticality_score,internet_exposed,operating_system,last_seen
AST-00197,Operations-Laptop-197,Network Device,Customer Support,Development,owner19@example.com,HIGH,70,False,Ubuntu 22.04,2026-08-03T20:37:38.249549
AST-00198,Legal-Application-198,Cloud VM,Sales,Production,owner4@example.com,MEDIUM,45,True,macOS Sonoma,2026-07-30T10:38:38.249549
AST-00199,Engineering-Server-199,Container,Legal,Development,owner21@example.com,MEDIUM,45,False,RHEL 8,2026-08-06T06:40:38.249549
AST-00200,Legal-Container-200,Desktop,Engineering,Production,owner30@example.com,CRITICAL,95,True,Amazon Linux 2,2026-08-07T02:40:38.249549
AST-00201,Finance-CloudVM-201,Application,Legal,Development,owner27@example.com,LOW,20,False,Windows Server 2019,2026-08-07T11:56:38.249549
AST-00202,Customer Support-Container-202,Database,Legal,Production,owner32@example.com,HIGH,70,False,Amazon Linux 2,2026-08-02T00:38:38.249549
AST-00203,Sales-Laptop-203,Desktop,Sales,Development,owner30@example.com,MEDIUM,45,False,Windows Server 2022,2026-08-05T02:07:38.249549
AST-00204,Finance-CloudVM-204,Network Device,Operations,Development,owner31@example.com,MEDIUM,45,False,Windows 10,2026-08-08T01:05:38.249549
AST-00205,HR-CloudVM-205,Container,Legal,Staging,owner24@example.com,HIGH,70,True,Windows 10,2026-08-03T16:42:38.249549
AST-00206,Engineering-CloudVM-206,Desktop,Sales,Development,owner29@example.com,MEDIUM,45,False,Ubuntu 22.04,2026-08-06T09:13:38.249549
AST-00207,Customer Support-Desktop-207,Server,Finance,Staging,owner24@example.com,HIGH,70,False,RHEL 8,2026-08-01T12:11:38.249549
AST-00208,Legal-Server-208,Database,Operations,Development,owner26@example.com,MEDIUM,45,False,Windows 10,2026-08-04T10:32:38.249549
AST-00209,Engineering-NetworkDevice-209,Network Device,HR,Development,owner33@example.com,LOW,20,True,RHEL 8,2026-07-31T11:31:38.249549
AST-00210,Customer Support-CloudVM-210,Container,Operations,Development,owner35@example.com,LOW,20,False,Ubuntu 22.04,2026-08-01T14:02:38.249549
AST-00211,Engineering-Container-211,Desktop,Sales,Development,owner20@example.com,MEDIUM,45,False,Windows 10,2026-08-08T09:50:38.249549
AST-00212,Customer Support-Database-212,Laptop,Operations,Staging,owner11@example.com,MEDIUM,45,False,macOS Sonoma,2026-08-05T13:52:38.249549
AST-00213,HR-Laptop-213,Desktop,HR,Production,owner29@example.com,LOW,20,False,Windows Server 2019,2026-07-31T20:29:38.249549
AST-00214,Sales-NetworkDevice-214,Laptop,Customer Support,Production,owner34@example.com,MEDIUM,45,True,RHEL 8,2026-08-06T06:42:38.249549
AST-00215,Operations-Application-215,Container,HR,Staging,owner35@example.com,CRITICAL,95,False,RHEL 8,2026-08-03T03:45:38.249549
AST-00216,Customer Support-CloudVM-216,Network Device,HR,Production,owner18@example.com,MEDIUM,45,False,Windows Server 2022,2026-07-29T17:27:38.249549
AST-00217,Legal-CloudVM-217,Database,Customer Support,Development,owner32@example.com,CRITICAL,95,False,RHEL 8,2026-08-05T05:06:38.249549
AST-00218,Customer Support-CloudVM-218,Cloud VM,Finance,Development,owner35@example.com,MEDIUM,45,False,macOS Sonoma,2026-07-30T13:11:38.249549
AST-00219,Legal-Server-219,Cloud VM,Finance,Staging,owner6@example.com,HIGH,70,False,Amazon Linux 2,2026-07-30T19:17:38.249549
AST-00220,Sales-Database-220,Database,Legal,Development,owner18@example.com,MEDIUM,45,False,Ubuntu 22.04,2026-07-31T02:18:38.249549
